IDO1
LAG3
CD8B
CD3E
CD3D
TIGIT
CD8A
CCL5
LCK
CD27
SLAMF6
PDCD1
CD2
CD3G
ITGAL
CD5
CRTAM
CARD11
ICOS
HLA-DOA
TBX21
IL27
IL12RB1
PDCD1LG2
BCL11B
SPN
CD74
LILRB4
CLEC4E
HLA-DRB1
IRF1
PTPN6
SOCS1
LILRB1
HLA-DPA1
HLA-DPB1
CD80
VAV1
NCKAP1L
HLA-DMB
ITGB2
IKZF1
SLAMF8
TRAT1
TRBC2
SH2D1A
CD247
TRAC
HLA-DQA1
HLA-DQB1
HLA-DRA
FCGR1A
PSMB9
GZMB
LTA
PRF1
IL18RAP
KLRD1
CD300LF
