
IDO1
LAG3
CD8B
CD3E
CD3D
TIGIT
CD8A
CCL5
LCK
CD27
SLAMF6
PDCD1
CD2
CD3G
ITGAL
CD5
CRTAM
CARD11
ICOS
HLA-DOA
TBX21
IL27
IL12RB1
PDCD1LG2
BCL11B
SPN
CD74
LILRB4
CLEC4E
HLA-DRB1
IRF1
PTPN6
SOCS1
LILRB1
HLA-DPA1
HLA-DPB1
CD80
VAV1
NCKAP1L
HLA-DMB
IL18
HAVCR2
CD86
CD4
TNFRSF1B
ITGB2
SELPLG
PTAFR
CXCL13
IKZF1
SLAMF8
SPI1
TRBC2
TYROBP
HLA-F
XCL2
FASLG
HLA-DQA1
CCL4
CIITA
IRF8
HLA-DQB1
HLA-DRA
FCGR1A
NLRC5
GCH1
HCK
LTA
IL18RAP
CXCL9
TNIP3
CXCL11
CXCL10
CCR5
CSF2RB
IL10RA
LY86
CD300LF
GZMB
SH2D1A
PRF1
KLRD1
IL18BP
TRAT1
CD247
TRAC
PSMB9
CSF3R
NCF1
HLA-DMA
CD48
CXCR3
IL2RG
IL2RB
IL15RA
TRAV2
IL21R
SIGLEC1
S1PR4
CD53
SECTM1
TNFSF10
TNFRSF9
HCST
SIGLEC10
GZMA
STAT4
